epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4106,0.61616,0.24818,0.00232,0.84335,0.80482,0.8696,0.65543,0.98319,0.66003,0.00418,0.00091175,0.00091175,0.00091175
43,4295.36,0.60363,0.24272,0.0022,0.81411,0.82235,0.87103,0.65889,0.98149,0.67614,0.00413,0.0009035,0.0009035,0.0009035
44,4484.66,0.59082,0.23671,0.00217,0.83774,0.80673,0.87806,0.67695,0.98523,0.65345,0.00417,0.00089525,0.00089525,0.00089525
45,4672.7,0.58795,0.23728,0.00212,0.83744,0.83222,0.87811,0.67408,0.98438,0.65685,0.00417,0.000887,0.000887,0.000887
46,4860.79,0.58734,0.23561,0.00213,0.86834,0.79828,0.87469,0.67425,0.98257,0.67127,0.00412,0.00087875,0.00087875,0.00087875
47,5048.91,0.57936,0.23288,0.00207,0.85827,0.81481,0.88136,0.67855,0.9764,0.66173,0.0041,0.0008705,0.0008705,0.0008705
48,5243.07,0.57148,0.22904,0.00205,0.83593,0.82874,0.8731,0.6668,0.98041,0.69102,0.00413,0.00086225,0.00086225,0.00086225
49,5432.33,0.56403,0.22284,0.00202,0.86665,0.82652,0.8821,0.6856,0.97469,0.67138,0.00408,0.000854,0.000854,0.000854
50,5622.93,0.56154,0.22674,0.00201,0.86757,0.82263,0.87955,0.68,0.96781,0.67753,0.00402,0.00084575,0.00084575,0.00084575
51,5810.54,0.55724,0.22544,0.00202,0.85837,0.8447,0.87757,0.67201,0.97541,0.70348,0.00407,0.0008375,0.0008375,0.0008375
52,5998.15,0.54992,0.21521,0.00198,0.81656,0.82986,0.86651,0.66853,0.98396,0.67751,0.00413,0.00082925,0.00082925,0.00082925
53,6185,0.54617,0.21795,0.00199,0.80501,0.82965,0.86722,0.67179,0.98143,0.69749,0.0041,0.000821,0.000821,0.000821
54,6372.53,0.53826,0.21103,0.00192,0.83506,0.84998,0.88083,0.67815,0.97648,0.68714,0.00407,0.00081275,0.00081275,0.00081275
55,6559.29,0.53477,0.21012,0.00192,0.83469,0.82407,0.88578,0.68259,0.97827,0.6913,0.0041,0.0008045,0.0008045,0.0008045
56,6746.57,0.5342,0.20913,0.00187,0.83717,0.8502,0.88752,0.68779,0.97574,0.66447,0.00406,0.00079625,0.00079625,0.00079625
57,6935.54,0.52912,0.20841,0.00189,0.87079,0.79065,0.86917,0.67707,0.97087,0.69089,0.00402,0.000788,0.000788,0.000788
58,7124.06,0.52029,0.20193,0.00188,0.8975,0.79291,0.88467,0.68717,0.97905,0.70164,0.00412,0.00077975,0.00077975,0.00077975
147,223.393,0.31575,0.12326,0.00115,0.84765,0.82202,0.86469,0.68265,0.9562,0.81139,0.00405,4.55e-05,4.55e-05,4.55e-05
148,432.232,0.31242,0.12146,0.00113,0.86632,0.81169,0.86459,0.68457,0.95658,0.82125,0.00406,3.725e-05,3.725e-05,3.725e-05
149,633.918,0.31082,0.12026,0.00113,0.86644,0.80886,0.86427,0.68397,0.95662,0.82208,0.00405,2.9e-05,2.9e-05,2.9e-05
150,836.057,0.30981,0.11994,0.00112,0.8695,0.81174,0.86473,0.68427,0.95617,0.81966,0.00405,2.075e-05,2.075e-05,2.075e-05
